date,AAPL,IBM,GOOG,XOM,cash,port_val
2011-01-10,15510.283470153809,0.0,0.0,0.0,984402.2151124955,999912.4985826493
2011-01-11,15473.596572875977,0.0,0.0,0.0,984402.2151124955,999875.8116853714
2011-01-12,15599.504470825195,0.0,0.0,0.0,984402.2151124955,1000001.7195833207
2011-01-13,0.0,348166.6259765625,0.0,0.0,650053.1535519601,998219.7795285226
2011-01-14,0.0,350927.30712890625,0.0,0.0,650053.1535519601,1000980.4606808664
2011-01-18,0.0,352447.93701171875,0.0,0.0,650053.1535519601,1002501.0905636789
2011-01-19,0.0,364239.2578125,0.0,0.0,650053.1535519601,1014292.4113644601
2011-01-20,0.0,364496.4294433594,0.0,0.0,650053.1535519601,1014549.5829953195
2011-01-21,0.0,363794.5556640625,0.0,0.0,650053.1535519601,1013847.7092160226
2011-01-24,0.0,373456.84814453125,0.0,0.0,650053.1535519601,1023510.0016964914
2011-01-25,0.0,377691.3757324219,0.0,0.0,650053.1535519601,1027744.529284382
2011-01-26,0.0,376755.5847167969,15354.94613647461,0.0,634611.4826848032,1026722.0135380747
2011-01-27,0.0,376825.8056640625,15362.16926574707,0.0,634611.4826848032,1026799.4576146128
2011-01-28,0.0,372474.2736816406,14968.644142150879,0.0,634611.4826848032,1022054.4005085947
2011-01-31,0.0,379001.4953613281,14952.953338623047,0.0,634611.4826848032,1028565.9313847544
2011-02-01,0.0,382651.0925292969,15218.955993652344,0.0,634611.4826848032,1032481.5312077524
2011-02-02,0.0,382042.90771484375,15242.865562438965,-197784.69848632812,831397.3076786997,1030898.3824696543
2011-02-03,0.0,382581.0241699219,15196.788787841797,-197855.7891845703,831397.3076786997,1031319.3314518931
2011-02-04,0.0,383680.6640625,15217.460632324219,-197476.40991210938,831397.3076786997,1032819.0224614146
2011-02-07,0.0,385598.876953125,15299.901962280273,-199017.66967773438,831397.3076786997,1033278.4169163706
2011-02-08,0.0,390014.6179199219,15401.769638061523,-197801.9561767578,831397.3076786997,1039011.7390599253
2011-02-09,0.0,386726.2878417969,15354.94613647461,-196776.9775390625,831397.3076786997,1036701.5641179087
2011-02-10,0.0,385411.07177734375,15353.450775146484,0.0,632069.2789128306,1032833.8014653209
2011-02-11,0.0,384847.412109375,15554.19921875,0.0,632069.2789128306,1032470.8902409556
2011-02-14,0.0,383367.61474609375,15645.108222961426,0.0,632069.2789128306,1031082.0018818858
2011-02-15,0.0,382475.15869140625,15545.48168182373,0.0,632069.2789128306,1030089.9192860606
2011-02-16,0.0,383790.3137207031,15547.224998474121,0.0,632069.2789128306,1031406.8176320079
2011-02-17,0.0,385763.36669921875,15573.127746582031,0.0,632069.2789128306,1033405.7733586314
2011-02-18,0.0,387172.5769042969,15693.178176879883,0.0,632069.2789128306,1034935.0339940074
2011-02-22,0.0,380384.70458984375,15198.283195495605,0.0,632069.2789128306,1027652.26669817
2011-02-23,0.0,376227.1423339844,15225.929260253906,0.0,632069.2789128306,1023522.3505070689
2011-02-24,0.0,377612.97607421875,15163.662910461426,0.0,632069.2789128306,1024845.9178975108
2011-02-25,0.0,381159.66796875,15194.048881530762,0.0,632069.2789128306,1028422.9957631114
2011-02-28,0.0,380220.15380859375,15277.734756469727,0.0,632069.2789128306,1027567.1674778941
2011-03-01,0.0,375734.0087890625,14962.915420532227,0.0,632069.2789128306,1022766.2031224254
2011-03-02,0.0,376180.3283691406,14963.663101196289,0.0,632069.2789128306,1023213.2703831675
2011-03-03,0.0,383978.2409667969,-33400.605964660645,0.0,680389.1649998667,1030966.800002003
2011-03-04,0.0,380102.7526855469,-32910.74123382568,0.0,680389.1649998667,1027581.1764515879
2011-03-07,0.0,375640.07568359375,-32419.783401489258,0.0,680389.1649998667,1023609.4572819712
2011-03-08,0.0,381159.66796875,-32455.39836883545,0.0,680389.1649998667,1029093.4345997813
2011-03-09,0.0,389568.42041015625,-32425.811195373535,0.0,680389.1649998667,1037531.7742146495
2011-03-10,0.0,380549.13330078125,-31797.31559753418,0.0,680389.1649998667,1029140.9827031138
2011-03-11,0.0,381511.962890625,-31600.603485107422,0.0,680389.1649998667,1030300.5244053843
2011-03-14,0.0,379069.3664550781,-31232.38353729248,0.0,680389.1649998667,1028226.1479176524
2011-03-15,0.0,373502.8076171875,-31208.822059631348,0.0,680389.1649998667,1022683.1505574229
2011-03-16,0.0,359363.1591796875,-30526.08051300049,0.0,680389.1649998667,1009226.2436665538
2011-03-17,0.0,362134.70458984375,-30759.50698852539,0.0,680389.1649998667,1011764.3626011851
2011-03-18,0.0,366150.9704589844,-30743.068504333496,0.0,680389.1649998667,1015797.0669545176
2011-03-21,0.0,370355.3771972656,-31589.095497131348,0.0,680389.1649998667,1019155.446700001
2011-03-22,0.0,371107.0556640625,-31634.02805328369,0.0,680389.1649998667,1019862.1926106456
2011-03-23,0.0,374700.5310058594,-31899.234199523926,0.0,680389.1649998667,1023190.4618062022
2011-03-24,0.0,375898.37646484375,-32158.412551879883,0.0,680389.1649998667,1024129.1289128306
2011-03-25,0.0,380924.7741699219,-31766.63112640381,0.0,680389.1649998667,1029547.3080433848
2011-03-28,0.0,379022.39990234375,-31526.631355285645,0.0,680389.1649998667,1027884.9335469248
2011-03-29,0.0,382568.9392089844,-31875.672721862793,0.0,680389.1649998667,1031082.4314869883
2011-03-30,0.0,384260.1318359375,-31881.70051574707,0.0,680389.1649998667,1032767.5963200572
2011-03-31,0.0,383015.2282714844,-32151.28746032715,0.0,680389.1649998667,1031253.105811024
2011-04-01,0.0,385833.80126953125,-32427.453994750977,0.0,680389.1649998667,1033795.512274647
2011-04-04,0.0,385786.80419921875,-32201.70021057129,0.0,680389.1649998667,1033974.2689885142
2011-04-05,0.0,385176.20849609375,-31183.068084716797,0.0,680389.1649998667,1034382.3054112437
2011-04-06,0.0,385293.5791015625,-31461.972618103027,0.0,680389.1649998667,1034220.7714833262
2011-04-07,0.0,386092.1325683594,-31780.877113342285,0.0,680389.1649998667,1034700.4204548838
2011-04-08,0.0,385317.0471191406,-31680.055809020996,0.0,680389.1649998667,1034026.1563099864
2011-04-11,0.0,385082.275390625,-31636.76815032959,0.0,680389.1649998667,1033834.6722401622
2011-04-12,0.0,383438.0187988281,-31266.35570526123,0.0,680389.1649998667,1032560.8280934336
2011-04-13,0.0,385082.275390625,-31577.04200744629,0.0,680389.1649998667,1033894.3983830455
2011-04-14,0.0,387477.8747558594,-31699.232292175293,0.0,680389.1649998667,1036167.8074635508
2011-04-15,0.0,390390.31982421875,-29079.502296447754,0.0,680389.1649998667,1041699.9825276377
2011-04-18,0.0,389756.1950683594,-28867.994499206543,0.0,680389.1649998667,1041277.3655690196
2011-04-19,0.0,388487.85400390625,-28577.036476135254,0.0,680389.1649998667,1040299.9825276377
2011-04-20,0.0,386961.181640625,-28807.17315673828,0.0,680389.1649998667,1038543.1734837535
2011-04-21,0.0,395252.4719238281,-28772.65338897705,0.0,680389.1649998667,1046868.9835347178
2011-04-25,0.0,393819.6716308594,-28769.913291931152,0.0,680389.1649998667,1045438.923338795
2011-04-26,0.0,395745.60546875,-29195.666885375977,0.0,680389.1649998667,1046939.1035832408
2011-04-27,0.0,400161.4074707031,-29466.353225708008,0.0,680389.1649998667,1051084.219244862
2011-04-28,0.0,401124.267578125,-29477.859115600586,0.0,680389.1649998667,1052035.5734623913
2011-04-29,0.0,400654.5104980469,-29813.751792907715,0.0,680389.1649998667,1051229.923705006
2011-05-02,0.0,404342.1630859375,-29510.188484191895,0.0,680389.1649998667,1055221.1396016125
2011-05-03,0.0,558295.6962585449,-29254.297828674316,0.0,527355.4400708202,1056396.8385006906
2011-05-04,0.0,551029.1938781738,-29358.40892791748,0.0,527355.4400708202,1049026.2250210764
2011-05-05,0.0,544053.3180236816,-29275.121307373047,0.0,527355.4400708202,1042133.6367871288
2011-05-06,0.0,547881.2713623047,-29331.557655334473,0.0,527355.4400708202,1045905.1537777904
2011-05-09,0.0,548562.5190734863,-29461.968231201172,0.0,527355.4400708202,1046455.9909131053
2011-05-10,0.0,552715.087890625,-29734.844970703125,0.0,527355.4400708202,1050335.682990742
2011-05-11,0.0,549860.1837158203,-29339.775848388672,0.0,527355.4400708202,1047875.8479382518
2011-05-12,0.0,558748.7564086914,-29317.859268188477,0.0,527355.4400708202,1056786.337211323
2011-05-13,0.0,551222.7210998535,-29016.488456726074,0.0,527355.4400708202,1049561.6727139475
2011-05-16,0.0,547783.7104797363,-28406.62384033203,0.0,527355.4400708202,1046732.5267102245
2011-05-17,0.0,553104.2404174805,-29066.35150909424,0.0,527355.4400708202,1051393.3289792063
2011-05-18,0.0,552909.5802307129,-29030.736541748047,0.0,527355.4400708202,1051234.283759785
2011-05-19,0.0,553396.0418701172,-29109.64126586914,0.0,527355.4400708202,1051641.840675068
2011-05-20,0.0,552001.1520385742,-28714.024543762207,0.0,527355.4400708202,1050642.567565632
2011-05-23,0.0,545837.5282287598,-28404.98104095459,0.0,527355.4400708202,1044787.9872586253
2011-05-24,0.0,544961.7881774902,-28397.85804748535,0.0,527355.4400708202,1043919.370200825
2011-05-25,0.0,544183.0635070801,-28475.119972229004,0.0,527355.4400708202,1043063.3836056712
2011-05-26,0.0,542334.1064453125,-28390.732955932617,0.0,527355.4400708202,1041298.8135602
2011-05-27,0.0,543372.1961975098,-28542.516708374023,0.0,527355.4400708202,1042185.1195599559
2011-05-31,0.0,548011.058807373,-28987.44888305664,0.0,527355.4400708202,1046379.0499951366
2011-06-01,0.0,540322.7577209473,-28800.050163269043,0.0,527355.4400708202,1038878.1476284984
